"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"2589",2733,"http://vertnet.org/resources/norms.html","Michigan","Alger",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"MR.35200","Mammalia",359,"T49N, R13W, Section 6, Michigan, Alger, United States, NORTH_AMERICA","MR","http://grbio.org/cool/qxfg-723q","NORTH_AMERICA",NA,1164,"United States",NA,NA,"22a66350-7947-4a49-84a3-39c7c1b0881f",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"NATIVE","1990-01-19T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",919416976,"Felis","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines",NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis","North and Central America | United States | Michigan | Alger County |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:MSU:MR:MR.35200",NA,NA,NA,"MSU","http://grbio.org/cool/53w1-8r3k",NA,NA,"US",919416976,"Animalia",1,"en","2015-07-31T14:03:53.570+0000","2016-08-03T12:48:11.273+0000","2015-04-09T04:32:21.306+0000",46.6693238288153,NA,NA,NA,NA,NA,NA,NA,NA,"T49N, R13W, Section 6",NA,NA,NA,-85.9788473822471,NA,"2015-04-09T00:00:00.000+0000",1,NA,"ICZN","urn:catalog:MSU:MR:MR.35200",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","311e2740-f15a-11d8-b22f-b8a03c50a862","Tom Cooley","DNR seal 8900908","http://portal.vertnet.org/o/msu/mr?id=mr-35200",NA,"https://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Felis rufus Schreber, 1777",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",19,NA,2435254,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,"North and Central America | United States | Michigan | Alger County | T49N, R13W, Section 6",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2595",2739,"http://vertnet.org/resources/norms.html","Michigan","Clare",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"MR.35534","Mammalia",359,"T18N, R5W, Section 34, Michigan, Clare, United States, NORTH_AMERICA","MR","http://grbio.org/cool/qxfg-723q","NORTH_AMERICA",NA,1164,"United States",NA,NA,"22a66350-7947-4a49-84a3-39c7c1b0881f",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"NATIVE","1990-01-10T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",919435864,"Felis","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines",NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis","North and Central America | United States | Michigan | Clare County |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:MSU:MR:MR.35534",NA,NA,"rufus","MSU","http://grbio.org/cool/53w1-8r3k",NA,NA,"US",919435864,"Animalia",1,"en","2015-07-31T14:03:57.789+0000","2016-08-03T12:48:08.993+0000","2015-04-09T04:32:37.488+0000",43.9077389305727,NA,NA,NA,NA,NA,NA,NA,NA,"T18N, R5W, Section 34",NA,NA,NA,-84.8989085140426,NA,"2015-04-09T00:00:00.000+0000",1,NA,"ICZN","urn:catalog:MSU:MR:MR.35534",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","311e2740-f15a-11d8-b22f-b8a03c50a862","Tom Cooley","DNR 8900968","http://portal.vertnet.org/o/msu/mr?id=mr-35534",NA,"https://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Felis rufus subsp. rufus",NA,NA,NA,"Lynx rufus",2435246,"rufus",10,NA,6164666,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,"North and Central America | United States | Michigan | Clare County | T18N, R5W, Section 34",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2597",2741,NA,"Texas","Concho",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"7688","Mammalia",359,"1.5 mi S, 3 mi W Millersview, Texas, Concho, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-01-01T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1061282620,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061282620,"Animalia",1,NA,"2016-06-28T07:24:28.159+0000","2016-08-04T15:40:26.653+0000","2015-03-03T13:48:15.285+0000",31.38683,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 mi S, 3 mi W Millersview",NA,NA,NA,-99.80629,NA,NA,1,NA,NA,"dd4231d6-cf59-49b2-834e-f40f841d6272",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,NA,NA,NA,NA,NA,"1997","1.5 mi S, 3 mi W Millersview",NA,"Bobcat",NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2631",2775,"http://vertnet.org/resources/norms.html","New York","Greene",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"zm-4167","Mammalia",359,"Durham Twp.  Rt. 22, DOR., New York, Greene, United States, NORTH_AMERICA","ZM",NA,"NORTH_AMERICA",NA,1306,"United States",NA,NA,"835ff8be-ea5c-45e4-b3f3-126852ac56fe",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,"NATIVE","1990-03-15T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",866367436,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines","J. Jerolimo, 2004: elevation estimated from  map; DOR: Dead on road",NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx","| USA | New York | Greene |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:NYSM:ZM:zm-4167",2,NA,NA,"NYSM","urn:lsid:biocol.org:col:35009",NA,NA,"US",866367436,"Animalia",1,"en","2016-05-25T17:37:23.567+0000","2016-08-04T04:51:56.015+0000","2016-05-25T17:37:23.646+0000",42.40201,NA,NA,NA,NA,NA,NA,NA,NA,"Durham Twp.  Rt. 22, DOR.",NA,NA,NA,-74.16415,NA,"2015-02-16T00:00:00.000+0000",3,NA,"ICZN","urn:catalog:NYSM:ZM:zm-4167",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin | skeleton",NA,"DWC_ARCHIVE","US","baa8ccb1-8d9d-4940-93a6-2241c8a04ba5",NA,NA,"http://portal.vertnet.org/o/nysm/zm?id=zm-4167",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",74,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1990-03-15","USA | New York | Greene | Durham Twp.  Rt. 22, DOR.",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2632",2776,"http://vertnet.org/resources/norms.html","New York",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"zm-10591","Mammalia",359,"[not recorded]., New York, United States, NORTH_AMERICA","ZM",NA,"NORTH_AMERICA",NA,369076,"United States",NA,NA,"835ff8be-ea5c-45e4-b3f3-126852ac56fe",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"NATIVE","1990-03-12T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",866372049,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines",NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx","| USA | New York |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:NYSM:ZM:zm-10591",1,NA,NA,"NYSM","urn:lsid:biocol.org:col:35009",NA,NA,"US",866372049,"Animalia",1,"en","2016-05-25T17:37:26.379+0000","2016-08-04T04:51:55.129+0000","2016-05-25T17:37:26.552+0000",42.94667,NA,NA,NA,NA,NA,NA,"ADULT",NA,"[not recorded].",NA,NA,NA,-75.51265,NA,"2015-02-16T00:00:00.000+0000",3,NA,"ICZN","urn:catalog:NYSM:ZM:zm-10591",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skeleton",NA,"DWC_ARCHIVE","US","baa8ccb1-8d9d-4940-93a6-2241c8a04ba5",NA,NA,"http://portal.vertnet.org/o/nysm/zm?id=zm-10591",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",71,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1990-03-12","USA | New York | [not recorded].",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2634",2778,"http://www.vertnet.org/resources/norms.html","Washington","Wahkiakum",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"39401","Mammalia",359,"Lat: 46.3422 Long: -123.5089WASHINGTON: Wahkiakum County; W side of KM Mt., Washington, Wahkiakum, United States, NORTH_AMERICA","Mammal","urn:lsid:biocol.org:col:34921","NORTH_AMERICA",NA,1622,"United States",NA,NA,"830eb5d0-f762-11e1-a439-00145eb45e9a",NA,NA,17,NA,NA,NA,"{""totalLengthInMM"":""724"", ""tailLengthInMM"":""133"", ""hindfootLengthInMM"":""162"", ""earLengthInMM"":""68"", ""weight"":""6.14 kg"" }",NA,NA,NA,NA,NA,NA,NA,137,"NATIVE","1990-05-17T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",70145067,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines",NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Felinae | Lynx","| USA | Washington | Wahkiakum |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UWBM:Mammal:39401",1,NA,NA,"UWBM","urn:lsid:biocol.org:col:34878",NA,NA,"US",70145067,"Animalia",1,"en","2015-02-24T03:03:57.527+0000","2016-08-04T04:34:28.554+0000","2015-02-16T16:38:59.637+0000",46.3419130276937,NA,NA,NA,NA,NA,NA,NA,NA,"Lat: 46.3422 Long: -123.5089WASHINGTON: Wahkiakum County; W side of KM Mt.",NA,NA,NA,-123.509843977209,NA,"2015-01-06T00:00:00.000+0000",5,NA,"ICZN","urn:catalog:UWBM:Mammal:39401","724-133-162-68","present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","06fcbbf0-0562-11d8-b851-b8a03c50a862","M. Badger",NA,"http://portal.vertnet.org/o/uwbm/mammal?id=39401",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"FEMALE",NA,"Lynx rufus",2435246,"rufus",137,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,"USA | Washington | Wahkiakum |  | Lat: 46.3422 Long: -123.5089WASHINGTON: Wahkiakum County; W side of KM Mt.",NA,"Bobcat",NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2639",2783,"http://vertnet.org/resources/norms.html","Texas","Crockett",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"58511","Mammalia",359,"9 MI S, 5 MI E IRAAN, Texas, Crockett, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"854f70cc-55e3-4af2-9417-0f47d6c7902d",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,"NATIVE","1990-06-24T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,"TK932472",NA,NA,"United States",911689366,"Lynx","Lynx",2435239,"WGS84",NA,"Mia Hwang (TTU)","3/3/2003","not recorded",NA,"Topozone.com","requires verification",NA,"LYNX","| UNITED STATES | TEXAS | CROCKETT CO |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:TTU:Mammals:58511",NA,NA,"texensis","TTU","urn:lsid:biocol.org:col:34902",NA,NA,"US",911689366,"Animalia",1,"en","2015-02-26T18:20:33.759+0000","2016-08-04T07:53:03.004+0000","2015-02-20T22:04:30.378+0000",30.782,NA,NA,NA,NA,NA,NA,NA,NA,"9 MI S, 5 MI E IRAAN",NA,NA,NA,-101.81,NA,"2015-02-20T00:00:00.000+0000",6,NA,"ICZN","urn:catalog:TTU:Mammals:58511",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK | skull",NA,"DWC_ARCHIVE","US","acac73b0-055d-11d8-b84f-b8a03c50a862","GOETZE, J R","290","http://portal.vertnet.org/o/ttu/mammals?id=58511",NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,"Lynx rufus subsp. texensis J. A. Allen, 1895",NA,NA,NA,"Lynx rufus",2435246,"rufus",175,NA,6164670,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"UTM",NA,"6/24/1990","UNITED STATES | TEXAS | CROCKETT CO | 9 MI S, 5 MI E IRAAN",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2652",2797,NA,"California","Marin Co.",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"23855","Mammalia",359,"Highway 1, between Stinson Beach and Bolinas, California, Marin Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-09-07T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",583520601,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"not recorded",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae","North America; USA; California; Marin Co.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:23855",NA,NA,"californicus","CAS",NA,NA,NA,"US",583520601,"Animalia",1,"en","2016-08-09T10:33:59.515+0000","2016-08-04T00:58:23.840+0000","2016-03-29T19:22:54.351+0000",37.9343054226269,NA,NA,NA,NA,NA,NA,NA,NA,"Highway 1, between Stinson Beach and Bolinas",NA,NA,NA,-122.698206337657,NA,NA,9,NA,NA,"urn:catalog:CAS:MAM:23855",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","R. L. Deiter",NA,NA,NA,NA,NA,NA,"Lynx rufus subsp. californicus Mearns, 1897",NA,NA,NA,"Lynx rufus",2435246,"rufus",250,NA,6164672,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"7 Sep 1990",NA,NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2667",2812,"http://vertnet.org/resources/norms.html","New York","Ulster",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"zm-10652","Mammalia",359,"[not recorded]., New York, Ulster, United States, NORTH_AMERICA","ZM",NA,"NORTH_AMERICA",NA,48460,"United States",NA,NA,"835ff8be-ea5c-45e4-b3f3-126852ac56fe",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,"NATIVE","1990-11-24T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",866371849,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines","Latitude and Longitude are for Ulster Co.",NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Lynx","| USA | New York | Ulster |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:NYSM:ZM:zm-10652",1,NA,NA,"NYSM","urn:lsid:biocol.org:col:35009",NA,NA,"US",866371849,"Animalia",1,"en","2016-05-25T17:37:26.333+0000","2016-08-04T04:51:54.526+0000","2016-05-25T17:37:26.508+0000",41.87511,NA,NA,NA,NA,NA,NA,NA,NA,"[not recorded].",NA,NA,NA,-74.20925,NA,"2015-02-16T00:00:00.000+0000",11,NA,"ICZN","urn:catalog:NYSM:ZM:zm-10652",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skeleton",NA,"DWC_ARCHIVE","US","baa8ccb1-8d9d-4940-93a6-2241c8a04ba5","Atto, Wayne","131","http://portal.vertnet.org/o/nysm/zm?id=zm-10652",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",328,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"1990-11-24","USA | New York | Ulster | [not recorded].",NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2677",2822,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Kansas","JACKSON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"143920","Mammalia",359,"HOYT, 5 MI W OF, Kansas, JACKSON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,31,NA,NA,NA,"TotalLength: 935.0; TailLength: 153.0; HindFoot: 164.0; EarLength: 56.0; BodyMass: 8391.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-12-31T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",686471047,"Lynx","Lynx",2435239,"WGS84",NA,"N Slade","2006-02-10",NA,NA,"Topozone 1:25,010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96050a1d-1ed8-11e3-bfac-90b11c41863e",NA,NA,"rufus","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686471047,"Animalia",1,"en","2016-03-28T15:43:42.862+0000","2016-08-03T12:33:09.957+0000","2015-06-05T22:02:27.985+0000",39.2399716962596,NA,NA,NA,NA,NA,NA,NA,NA,"HOYT, 5 MI W OF",NA,NA,NA,-95.7901069539041,NA,NA,12,NA,NA,"96050a1d-1ed8-11e3-bfac-90b11c41863e","US-CITES KSBCAT 9000784/; SKIN NOT FOUND FEB 1995 TH",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SB",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","BARROWS D",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Lynx rufus subsp. rufus",NA,NA,NA,"Lynx rufus",2435246,"rufus",NA,NA,7193912,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,1990,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"2737",2882,"http://vertnet.org/resources/norms.html","Michigan","Alpena",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"MR.35208","Mammalia",359,"T32N, R8E, Section 28, Michigan, Alpena, United States, NORTH_AMERICA","MR","http://grbio.org/cool/qxfg-723q","NORTH_AMERICA",NA,1164,"United States",NA,NA,"22a66350-7947-4a49-84a3-39c7c1b0881f",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"NATIVE","1989-02-25T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",919417811,"Felis","Lynx",2435239,"WGS84",NA,NA,NA,"VertNet Georeferencing Guidelines",NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Felidae | Felis","North and Central America | United States | Michigan | Alpena County |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:MSU:MR:MR.35208",NA,NA,"rufus","MSU","http://grbio.org/cool/53w1-8r3k",NA,NA,"US",919417811,"Animalia",1,"en","2015-07-31T14:03:53.749+0000","2016-08-03T12:48:11.662+0000","2015-04-09T04:32:22.185+0000",48.5140045485741,NA,NA,NA,NA,NA,NA,NA,NA,"T32N, R8E, Section 28",NA,NA,NA,-83.4630698146703,NA,"2015-04-09T00:00:00.000+0000",2,NA,"ICZN","urn:catalog:MSU:MR:MR.35208",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","311e2740-f15a-11d8-b22f-b8a03c50a862","Tom Cooley","DNR seal 8800744","http://portal.vertnet.org/o/msu/mr?id=mr-35208",NA,"https://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Felis rufus subsp. rufus",NA,NA,NA,"Lynx rufus",2435246,"rufus",56,NA,6164666,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,"North and Central America | United States | Michigan | Alpena County | T32N, R8E, Section 28",NA,NA,NA,1989,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
