"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceVerificationStatus","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identifiedBy","identifier","individualCount","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"703",NA,NA,NA,NA,"OBSERVATION","Atlas-267064","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","481252712","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"e37b6af7-c79e-4fb9-b9c9-8eb3c5de4b33",NA,"Fauna Atlas N.T.",NA,"AU",481252712,"Animalia",1,NA,"2014-06-18T10:39:16.806+0000","2016-08-03T13:49:30.545+0000","2014-05-29T12:40:35.376+0000",-12.7265900029045,NA,NA,NA,NA,131.08221,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"704",NA,NA,NA,NA,"OBSERVATION","Atlas-267082","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","481252835","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57502e7a-15a0-4cf9-9ecf-c7c268408b41",NA,"Fauna Atlas N.T.",NA,"AU",481252835,"Animalia",1,NA,"2014-06-18T10:39:16.628+0000","2016-08-03T13:49:29.878+0000","2014-05-29T12:40:35.384+0000",-12.7175900028983,NA,NA,NA,NA,131.08221,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"705",NA,NA,NA,NA,"OBSERVATION","Atlas-571808","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","483034127","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"93c251dd-986e-46d1-a1a2-029cff3aa038",NA,"Fauna Atlas N.T.",NA,"AU",483034127,"Animalia",1,NA,"2014-06-18T10:42:15.063+0000","2016-08-03T13:49:20.836+0000","2014-05-29T12:42:15.887+0000",-12.4985900027477,NA,NA,NA,NA,130.92121,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"706",NA,NA,NA,NA,"OBSERVATION","Atlas-58328","Mammalia",359,"Federal Airport Corp, Australia","Fauna Atlas N.T.",NA,NA,NA,10,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","483131091","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a80b045-556d-4801-9418-a0f73d37fc74",NA,"Fauna Atlas N.T.",NA,"AU",483131091,"Animalia",1,NA,"2014-06-18T10:42:26.458+0000","2016-08-03T13:49:43.410+0000","2014-05-29T12:39:48.291+0000",-13.63358,NA,NA,"Federal Airport Corp",NA,132.27099,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"707",NA,NA,NA,NA,"OBSERVATION","Atlas-679661","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","483939339","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0c17332a-fd46-4492-9859-606d41f2152e",NA,"Fauna Atlas N.T.",NA,"AU",483939339,"Animalia",1,NA,"2014-06-18T10:43:43.998+0000","2016-08-03T13:49:47.760+0000","2014-05-29T12:40:24.115+0000",-14.218580004054,NA,NA,NA,NA,132.37121,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"708",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN","M19220","Mammalia",359,"MITCHELL PLATEAU, Western Australia, Australia","MAMM",NA,NA,NA,10000,"Australia",NA,"7c93d290-6c8b-11de-8226-b8a03c50a862",NA,"1981-01-01T00:00:00.000+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","731970829","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"HENRY,J.","8b9ccc04-d34c-4f2b-801b-f48a64724e2a",1,"WAM",NA,"AU",731970829,"Animalia",1,NA,"2016-08-19T07:44:30.462+0000","2016-08-04T03:09:23.326+0000","2015-05-13T22:43:23.935+0000",-14.82167,NA,NA,"MITCHELL PLATEAU",NA,125.84444,NA,NA,NA,"8b9ccc04-d34c-4f2b-801b-f48a64724e2a",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","b36f3505-f2d9-499f-a669-fa418a127b9d","KENNEALLY,K.F.",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2016-08-25
"709",NA,NA,NA,NA,"PRESERVED_SPECIMEN","1842.5.26.5","Mammalia",359,"Australia","ZOO",NA,NA,NA,NA,"Australia",NA,"7e380070-f762-11e1-a439-00145eb45e9a",NA,NA,NA,NA,NA,"{""kindofobject"": ""Skin"", ""recordtype"": ""Mammal Group Part"", ""parttype"": ""Skin"", ""created"": ""2014-09-18"", ""relationshipofresource"": ""Parts"", ""centroid"": false, ""subdepartment"": ""Mammalia"", ""registrationcode"": ""MA"", ""kindofcollection"": ""Dry"", ""gbifid"": 1056747914, ""relatedresourceid"": ""922134c2-6a42-42a2-8c06-051868c682c7;fbd01db7-5aa6-4275-a198-255227015bac""}",NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","1056747914","Osphranter","Macropus",2440171,NA,NA,NA,NA,"Animalia; Chordata; Vertebrata; Mammalia; Diprotodontia; Macropodidae","Australia",NA,NA,NA,NA,"1048860",NA,"NHMUK",NA,"AU",1056747914,"Animalia",1,NA,"2016-08-19T06:04:04.889+0000","2016-08-04T03:18:00.184+0000","2016-04-30T01:12:09.030+0000",NA,NA,"ADULT",NA,NA,NA,"2014-09-18T00:00:00.000+0000",NA,NA,"fbd01db7-5aa6-4275-a198-255227015bac",NA,NA,"Diprotodontia",1452,"NHMUK:ecatalogue:4267423",NA,"Chordata",44,NA,"DWC_ARCHIVE","GB","19456090-b49a-11d8-abeb-b8a03c50a862",NA,NA,NA,NA,NA,"Osphranter antilopinus Gould, 1842","MALE","Macropus antilopinus",5219988,"antilopinus",NA,NA,4826180,"SPECIES",NA,"LECTOTYPE",NA,NA,NA,NA,NA,NA,2016-08-25
"710",NA,"Queensland","not applicable",NA,"MATERIAL_SAMPLE","G37905","Mammalia",359,"20 KM E OF MOUNT SURPRISE, Queensland, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","1257469499","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"d602ee81-2974-49c5-b70e-16b851323ce8",NA,"ANWC",NA,"AU",1257469499,"Animalia",1,NA,"2016-08-19T07:26:14.156+0000","2016-08-03T11:46:20.699+0000","2016-06-21T13:46:59.357+0000",-18.1,NA,NA,"20 KM E OF MOUNT SURPRISE",NA,144.4833,NA,NA,NA,"d602ee81-2974-49c5-b70e-16b851323ce8",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
"711",NA,"Queensland",NA,NA,"FOSSIL_SPECIMEN","212988","Mammalia",359,"AHG Study Area, Queensland, Australia, OCEANIA","21688",NA,"OCEANIA",NA,NA,"Australia",NA,"84806e86-f762-11e1-a439-00145eb45e9a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","37980609","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PBDB",NA,"AU",37980609,"Animalia",1,NA,"2013-09-07T07:06:57.000+0000","2016-08-04T07:26:23.695+0000",NA,-15.4833,NA,NA,"AHG Study Area",NA,144.867,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DIGIR","US","c96dd940-165d-11da-a5ec-b8a03c50a862",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2016-08-25
"712",NA,NA,NA,NA,"OBSERVATION","Atlas-267027","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macropodidae",9372,"Australia","481252379","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"491441dd-da82-4cf4-b39d-4717a8619e45",NA,"Fauna Atlas N.T.",NA,"AU",481252379,"Animalia",1,NA,"2014-06-18T10:39:16.562+0000","2016-08-03T13:49:53.122+0000","2014-05-29T12:40:35.365+0000",-15.598580005308,NA,NA,NA,NA,131.65122,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",NA,2016-08-25
