"","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"12357","http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Queensland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"159133","Mammalia",359,"BORE POND; WATERLOO STATION, Queensland, Australia, OCEANIA","KUM",NA,"OCEANIA",NA,NA,"Australia",NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-05-20T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","686486249","Macropus","Macropus",2440171,"WGS84",NA,"N Slade","2009-02-27",NA,NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96eb9bf5-1ed8-11e3-bfac-90b11c41863e",NA,NA,"KU","http://grbio.org/cool/iakn-125z",NA,NA,"AU",686486249,"Animalia",1,"en","2016-03-28T15:43:48.723+0000","2016-08-03T12:32:55.670+0000","2015-06-05T22:02:33.799+0000",-24.1464705998853,NA,NA,NA,NA,NA,NA,"BORE POND; WATERLOO STATION",NA,NA,NA,143.238855161127,NA,NA,5,NA,"96eb9bf5-1ed8-11e3-bfac-90b11c41863e",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","EMMOTT A J",NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,"PhysicalObject",NA,"decimal degrees",NA,NA,NA,NA,NA,NA,1998,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"13407",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.33372","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,0.001,NA,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-09-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4000078",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101213343","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29258ff7-10e7-44b3-9287-81087818296d",NA,NA,"AM",NA,NA,NA,"AU",1101213343,"Animalia",1,NA,"2016-08-19T08:07:03.240+0000","2016-08-04T14:24:10.078+0000","2015-07-17T07:03:28.094+0000",-35.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Deniliquin (35° 32' S, 144° 57' E) /09/1997 - /09/1997, Shot"";",144.95,NA,NA,9,NA,"29258ff7-10e7-44b3-9287-81087818296d",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,1997,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14366",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.32737","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-01-25T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4020560",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101212801","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"709c8512-f7bf-4bd0-ab70-451d08ea2d57",NA,NA,"AM",NA,NA,NA,"AU",1101212801,"Animalia",1,NA,"2016-08-19T08:07:03.131+0000","2016-08-04T14:23:17.403+0000","2015-07-17T07:03:25.178+0000",-31.02082,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, E of Gap Range, 12 km NE of Amphitheatre Well (31° 01' 15"" S, 142° 36' 18"" E) 25/01/1996 - 25/01/1996"";",142.605,NA,NA,1,NA,"709c8512-f7bf-4bd0-ab70-451d08ea2d57",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Andy Sharp (NPWS) - NPWS",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,1996,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14418",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M18791","Mammalia",359,"Merdayerrah Sand Patch, Saudi Arabia","Mammalogy",NA,NA,0.001,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-05-08T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500863415","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queale",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500863415,"Animalia",1,NA,"2013-09-07T07:22:24.000+0000","2016-08-04T15:41:15.448+0000",NA,-31.67499,NA,NA,NA,NA,NA,NA,"Merdayerrah Sand Patch",NA,NA,NA,129.066,NA,NA,5,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Matthew J.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14505",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M19207","Mammalia",359,"Rain Camp Yard, Saudi Arabia","Mammalogy",NA,NA,1e-05,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-09-25T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500864763","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemper",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500864763,"Animalia",1,NA,"2013-09-07T07:22:24.000+0000","2016-08-04T15:41:11.695+0000",NA,-27.35611,NA,NA,NA,NA,NA,NA,"Rain Camp Yard",NA,NA,NA,134.45388,NA,NA,9,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Weibkin A.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14597",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M18951","Mammalia",359,"Stonewall Dam, Saudi Arabia","Mammalogy",NA,NA,1e-05,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-11-12T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500863945","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemper",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500863945,"Animalia",1,NA,"2013-09-07T07:22:24.000+0000","2016-08-04T15:41:11.749+0000",NA,-30.73833,NA,NA,NA,NA,NA,NA,"Stonewall Dam",NA,NA,NA,137.31111,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Kemper C.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14635",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SUM15617-12","Mammalia",359,"4.5 km W from Lake Dam., Australia","SU",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-11-06T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","501856462","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501856462,"Animalia",1,NA,"2013-09-07T07:24:51.000+0000","2016-08-03T15:43:14.309+0000",NA,-31.77429,NA,NA,NA,NA,NA,NA,"4.5 km W from Lake Dam.",NA,NA,NA,137.58108,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","WEIBKIN A.S. Annalise",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"16090",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M18965","Mammalia",359,"Arckaringa, Saudi Arabia","Mammalogy",NA,NA,0.001,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500863988","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemper",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500863988,"Animalia",1,NA,"2013-09-07T07:22:24.000+0000","2016-08-04T15:41:11.368+0000",NA,-27.933,NA,NA,NA,NA,NA,NA,"Arckaringa",NA,NA,NA,134.733,NA,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Queale L.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"19550",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SUM11944-61","Mammalia",359,"1.8 km SE from Tiverton Outstation., Australia","SU",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-09-29T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","501848702","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501848702,"Animalia",1,NA,"2013-09-07T07:24:50.000+0000","2016-08-03T15:43:14.973+0000",NA,-32.92113,NA,NA,NA,NA,NA,NA,"1.8 km SE from Tiverton Outstation.",NA,NA,NA,139.67513,NA,NA,9,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","NOT ENTERED - SEE ORIGINAL DATA  -",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"19777",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"OPM34240-1385208","Mammalia",359,"1km E from Manna Hill. MapCode should be 6832, but reset because of validation check failed during Data Conversion., Australia","OP",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-11-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","501511602","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501511602,"Animalia",1,NA,"2013-09-07T07:24:01.000+0000","2016-08-03T15:43:58.607+0000",NA,-32.42787,NA,NA,NA,NA,NA,NA,"1km E from Manna Hill. MapCode should be ""6832"", but reset because of validation check failed during Data Conversion.",NA,NA,NA,139.9802,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","KEMPER C.M. Cath",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"19783",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"OPM38544-1385225","Mammalia",359,"Dlorah Downs Hs., Australia","OP",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-11-04T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","501528170","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501528170,"Animalia",1,NA,"2013-09-07T07:24:04.000+0000","2016-08-03T15:43:55.528+0000",NA,-32.70009,NA,NA,NA,NA,NA,NA,"Dlorah Downs Hs.",NA,NA,NA,140.20115,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","KEMPER C.M. Cath",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"20786",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M16986","Mammalia",359,"Blanchetown, Saudi Arabia","Mammalogy",NA,NA,0.001,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991-11-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500857400","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queale",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500857400,"Animalia",1,NA,"2013-09-07T07:22:23.000+0000","2016-08-04T15:41:15.415+0000",NA,-34.3,NA,NA,NA,NA,NA,NA,"Blanchetown",NA,NA,NA,139.5,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Armstrong D.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"21785",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M16382","Mammalia",359,"Horn Ridge, Saudi Arabia","Mammalogy",NA,NA,0.001,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500855444","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queale",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500855444,"Animalia",1,NA,"2013-09-07T07:22:23.000+0000","2016-08-04T15:41:17.656+0000",NA,-30.45,NA,NA,NA,NA,NA,NA,"Horn Ridge",NA,NA,NA,137.033,NA,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Allchurch C.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"22432",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M15916","Mammalia",359,"Beltana, Saudi Arabia","Mammalogy",NA,NA,1e-05,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500853906","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allchurch",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500853906,"Animalia",1,NA,"2013-09-07T07:22:22.000+0000","2016-08-04T15:41:13.998+0000",NA,-30.65583,NA,NA,NA,NA,NA,NA,"Beltana",NA,NA,NA,138.62277,NA,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Allchurch C.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"22667",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M15915","Mammalia",359,"Puttapa Springs, Saudi Arabia","Mammalogy",NA,NA,0.001,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-12-05T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Saudi Arabia","500853903","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queale/Kemper",NA,NA,NA,"SAMA",NA,NA,NA,"SA",500853903,"Animalia",1,NA,"2013-09-07T07:22:22.000+0000","2016-08-04T15:41:14.399+0000",NA,-30.7,NA,NA,NA,NA,NA,NA,"Puttapa Springs",NA,NA,NA,138.416,NA,NA,12,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Allchurch C.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
